date,channel,campaign,impressions,clicks,cost,conversions,revenue
2026-06-01,Google Ads,Brand Search,12400,620,450.00,28,3360.00
2026-06-01,Google Ads,Non-Brand Search,45200,890,1200.00,31,2790.00
2026-06-01,Meta Ads,Retargeting,38100,760,680.00,42,4620.00
2026-06-01,Meta Ads,Prospecting,91200,1140,1850.00,19,1710.00
2026-06-01,LinkedIn Ads,B2B Demand Gen,15600,210,940.00,8,3200.00
2026-06-01,Organic SEO,Blog,28900,1450,0.00,22,1980.00
2026-06-08,Google Ads,Brand Search,12800,640,462.00,30,3600.00
2026-06-08,Google Ads,Non-Brand Search,44100,865,1180.00,29,2610.00
2026-06-08,Meta Ads,Retargeting,39800,810,720.00,45,4950.00
2026-06-08,Meta Ads,Prospecting,88700,1080,1790.00,17,1530.00
2026-06-08,LinkedIn Ads,B2B Demand Gen,16100,225,980.00,9,3600.00
2026-06-08,Organic SEO,Blog,31200,1580,0.00,25,2250.00
2026-06-15,Google Ads,Brand Search,13100,655,472.00,29,3480.00
2026-06-15,Google Ads,Non-Brand Search,42800,840,1150.00,26,2340.00
2026-06-15,Meta Ads,Retargeting,41200,850,760.00,48,5280.00
2026-06-15,Meta Ads,Prospecting,79500,970,1620.00,14,1260.00
2026-06-15,LinkedIn Ads,B2B Demand Gen,15900,218,955.00,10,4000.00
2026-06-15,Organic SEO,Blog,33500,1690,0.00,27,2430.00
2026-06-22,Google Ads,Brand Search,12600,628,455.00,27,3240.00
2026-06-22,Google Ads,Non-Brand Search,41500,815,1120.00,24,2160.00
2026-06-22,Meta Ads,Retargeting,42900,890,800.00,51,5610.00
2026-06-22,Meta Ads,Prospecting,71200,860,1450.00,11,990.00
2026-06-22,LinkedIn Ads,B2B Demand Gen,16400,230,1000.00,11,4400.00
2026-06-22,Organic SEO,Blog,35800,1820,0.00,30,2700.00
2026-06-29,Google Ads,Brand Search,13400,668,480.00,31,3720.00
2026-06-29,Google Ads,Non-Brand Search,40200,790,1080.00,22,1980.00
2026-06-29,Meta Ads,Retargeting,44100,920,830.00,53,5830.00
2026-06-29,Meta Ads,Prospecting,64800,780,1310.00,9,810.00
2026-06-29,LinkedIn Ads,B2B Demand Gen,16800,242,1050.00,12,4800.00
2026-06-29,Organic SEO,Blog,38200,1950,0.00,33,2970.00
